minute,outside_temp_c,outside_rh,outside_reference_wind_speed_m_s,outside_local_wind_speed_m_s,outside_wind_direction_deg,outside_co2_ppm,outside_direct_radiation_w_m2,outside_diffuse_radiation_w_m2,inside_temp_c,inside_rh,total_airflow_m3_s,average_airflow_m3_s,heater_gain_w,envelope_loss_w,ventilation_loss_w,damper_power_w,fan_power_w,heater_power_w,damper_resource_rate_per_hour,fan_resource_rate_per_hour,heater_resource_rate_per_hour
258,-10,0.8,4,3.48633,270,420,150,50,81.4763,0.0141168,0.0412485,0.0387713,35000,-34995.2,-4430.66,0,0,35000,0,0,35
259,-10,0.8,4,3.48633,270,420,150,50,81.4779,0.0140978,0.0412488,0.0387808,35000,-34995.8,-4430.76,0,0,35000,0,0,35
260,-10,0.8,4,3.48633,270,420,150,50,81.4794,0.0140789,0.0412491,0.0387903,35000,-34996.4,-4430.86,0,0,35000,0,0,35
261,-10,0.8,4,3.48633,270,420,150,50,81.4809,0.0140601,0.0412494,0.0387996,35000,-34996.9,-4430.95,0,0,35000,0,0,35
262,-10,0.8,4,3.48633,270,420,150,50,81.4823,0.0140413,0.0412497,0.038809,35000,-34997.5,-4431.05,0,0,35000,0,0,35
263,-10,0.8,4,3.48633,270,420,150,50,81.4837,0.0140226,0.0412499,0.0388182,35000,-34998,-4431.14,0,0,35000,0,0,35
264,-10,0.8,4,3.48633,270,420,150,50,81.485,0.014004,0.0412502,0.0388274,35000,-34998.5,-4431.22,0,0,35000,0,0,35
265,-10,0.8,4,3.48633,270,420,150,50,81.4864,0.0139855,0.0412505,0.0388365,35000,-34999,-4431.31,0,0,35000,0,0,35
266,-10,0.8,4,3.48633,270,420,150,50,81.4876,0.0139671,0.0412507,0.0388455,35000,-34999.5,-4431.39,0,0,35000,0,0,35
267,-10,0.8,4,3.48633,270,420,150,50,81.4889,0.0139487,0.041251,0.0388545,35000,-35000,-4431.47,0,0,35000,0,0,35
268,-10,0.8,4,3.48633,270,420,150,50,81.4901,0.0139304,0.0412512,0.0388634,35000,-35000.4,-4431.55,0,0,35000,0,0,35
269,-10,0.8,4,3.48633,270,420,150,50,81.4913,0.0139122,0.0412515,0.0388723,35000,-35000.9,-4431.63,0,0,35000,0,0,35
270,-10,0.8,4,3.48633,270,420,150,50,81.4924,0.013894,0.0412517,0.038881,35000,-35001.3,-4431.7,0,0,35000,0,0,35
271,-10,0.8,4,3.48633,270,420,150,50,81.4935,0.0138759,0.0412519,0.0388898,35000,-35001.8,-4431.77,0,0,35000,0,0,35
272,-10,0.8,4,3.48633,270,420,150,50,81.4946,0.0138579,0.0412521,0.0388984,35000,-35002.2,-4431.84,0,0,35000,0,0,35
273,-10,0.8,4,3.48633,270,420,150,50,81.4956,0.01384,0.0412524,0.038907,35000,-35002.6,-4431.91,0,0,35000,0,0,35
274,-10,0.8,4,3.48633,270,420,150,50,81.4967,0.0138221,0.0412526,0.0389155,35000,-35003,-4431.98,0,0,35000,0,0,35
275,-10,0.8,4,3.48633,270,420,150,50,81.4976,0.0138043,0.0412528,0.038924,35000,-35003.3,-4432.04,0,0,35000,0,0,35
276,-10,0.8,4,3.48633,270,420,150,50,81.4986,0.0137866,0.041253,0.0389324,35000,-35003.7,-4432.1,0,0,35000,0,0,35
277,-10,0.8,4,3.48633,270,420,150,50,81.4995,0.0137689,0.0412531,0.0389408,35000,-35004.1,-4432.16,0,0,35000,0,0,35
278,-10,0.8,4,3.48633,270,420,150,50,81.5005,0.0137514,0.0412533,0.038949,35000,-35004.4,-4432.22,0,0,35000,0,0,35
279,-10,0.8,4,3.48633,270,420,150,50,81.5013,0.0137338,0.0412535,0.0389573,35000,-35004.8,-4432.28,0,0,35000,0,0,35
